01 B1  Informatica	
02 A1  Fisica sperimentale delle interazioni fondamentali	
05 F1  Biologia applicata	
06 A2  Patologia generale e patologia clinica	
06 D6  Neurologia	
06 F2  Malattie apparato visivo	
06 L1  Anestesiologia	
06 N1  Scienze delle professioni sanitarie e delle tecnologie mediche applicate	
08 B2  Scienza delle costruzioni	
09 D1  Scienza e tecnologia dei materiali	
09 E1  Elettrotecnica	
09 E2  Ingegneria dell'energia elettrica	
09 E3  Elettronica	
09 E4  Misure	
09 F1  Campi elettromagnetici	
09 F2  Telecomunicazioni	
09 G1  Automatica	
09 G2  Bioingegneria	
09 H1  Sistemi di elaborazione delle informazioni	
10 B1  Storia dell'arte	
10 F2  Letteratura italiana contemporanea	
10 F4  Critica letteraria e letterature comparate	
12 B2  Diritto del lavoro	
12 D2  Diritto tributario	
12 E4  Diritto dell'Unione europea	
14 C3  Sociologia dei fenomeni politici e giuridici	
